"Current Phase","Phase III Date","Phase III Event Date","Phase II Date","Phase II Event Date","Phase I Date","Molecule","Route of Administration","Lead Company Name","Ticker","Drug Name","Disease Group","Indication Name","Target","Phase I Event Date"
"II",,,,"06/09/2016",,"Peptide",,"Strongbridge Biopharma plc","SBBP","COR-005","Endocrine","Acromegaly","Somatostatin Receptors",
"Suspended",,,,,,"Peptide",,"Amryt Pharma plc","AMYT","AP102","Endocrine","Acromegaly","Somatostatin Receptors",
"Suspended",,,,,,"Peptide",,"Amryt Pharma plc","AMYT","AP102","Endocrine","Cushing's Syndrome","Somatostatin Receptors",
"Preclinical",,,,,,"Peptide",,"Follicum AB",,"Diabetes Peptide Program (Follicum)","Endocrine","Diabetes Mellitus, Type I",,
"Suspended",,,,,,"Peptide",,"Novartis AG","NVS","Biosimilar Insulin Aspart (Sandoz)","Endocrine","Diabetes Mellitus, Type I","Insulin Receptor",
"Suspended",,,,,,"Peptide",,"Novartis AG","NVS","Biosimilar Insulin Glargine (Sandoz)","Endocrine","Diabetes Mellitus, Type I","Insulin Receptor",
"Suspended",,,,,,"Peptide",,"Novartis AG","NVS","Biosimilar Insulin Lispro (Sandoz)","Endocrine","Diabetes Mellitus, Type I","Insulin Receptor",
"Suspended",,,,,,"Peptide",,"Sanofi","SNY","Pancreate","Endocrine","Diabetes Mellitus, Type I","Human proIslet Peptide (HIP) Receptor",
"Suspended",,,,,,"Peptide",,"Viatris Inc.","VTRS","Biosimilar Humalog (Mylan/Biocon)","Endocrine","Diabetes Mellitus, Type I","Insulin Receptor",
"Preclinical",,,,,,"Peptide",,"Carmot Therapeutics Inc.",,"CT-388","Endocrine","Diabetes Mellitus, Type II","GIP Receptor (GIPR)/Glucose-Dependent Insulinotropic Polypeptide Receptor,GLP-1 Receptor",
"Preclinical",,,,,,"Peptide",,"Thermalin Diabetes LLC",,"Fluorolog","Endocrine","Diabetes Mellitus, Type II","Insulin Receptor",
"Preclinical",,,,,,"Peptide",,"Zucara Therapeutics, Inc.",,"ZT-01","Endocrine","Diabetes Mellitus, Type II","Somatostatin Receptors",
"Suspended",,,,,,"Peptide",,"Nordic Bioscience A/S",,"UGP302","Endocrine","Diabetes Mellitus, Type II","Amylin Receptor",
"Suspended",,,,,"01/31/2012","Peptide",,"Bristol Myers Squibb Company","BMY","AC165198","Endocrine","Diabetes Mellitus, Type II","Unknown","01/31/2012"
"Suspended",,,,,,"Peptide",,"CohBar, Inc.","CWBR","CB4209","Endocrine","Diabetes Mellitus, Type II","Mitochondria",
"Suspended",,,,,,"Peptide",,"Eloxx Pharmaceuticals, Inc.","ELOX","SVN-003","Endocrine","Diabetes Mellitus, Type II","Insulin Receptor",
"Suspended",,,,"06/08/2017",,"Peptide",,"Eli Lilly and Company","LLY","DACRA-042","Endocrine","Diabetes Mellitus, Type II","Amylin Receptor,Calcitonin Receptor","08/19/2015"
"Suspended",,,,,,"Peptide",,"MorphoSys AG","MOR","PanCyte","Endocrine","Diabetes Mellitus, Type II",,
"Suspended",,,,,,"Peptide",,"Novartis AG","NVS","Biosimilar Insulin Aspart (Sandoz)","Endocrine","Diabetes Mellitus, Type II","Insulin Receptor",
"Suspended",,,,,,"Peptide",,"Novartis AG","NVS","Biosimilar Insulin Glargine (Sandoz)","Endocrine","Diabetes Mellitus, Type II","Insulin Receptor",
"Suspended",,,,,,"Peptide",,"Novartis AG","NVS","Biosimilar Insulin Lispro (Sandoz)","Endocrine","Diabetes Mellitus, Type II","Insulin Receptor",
"Suspended",,,,,,"Peptide",,"Roche Holding AG","RHHBY","RG7089","Endocrine","Diabetes Mellitus, Type II","Neuropeptide Y (NPY)/Peptide YY (PYY) Receptors","07/23/2009"
"Suspended",,,,,,"Peptide",,"Sanofi","SNY","Pancreate","Endocrine","Diabetes Mellitus, Type II","Human proIslet Peptide (HIP) Receptor",
"Suspended",,,,,,"Peptide",,"Viatris Inc.","VTRS","Biosimilar Humalog (Mylan/Biocon)","Endocrine","Diabetes Mellitus, Type II","Insulin Receptor",
"Suspended",,,,,,"Peptide",,"Assertio Therapeutics, Inc.","ASRT","Synthetic ACTH Depot","Endocrine","Endocrine Disorder","Corticotropin Releasing Factor (CRF) / Corticotropin Releasing Hormone (CRH)",
"I",,,,,"09/29/2020","Peptide",,"Zucara Therapeutics, Inc.",,"ZT-01","Endocrine","Hyperinsulinemia/Hypoglycemia","Somatostatin Receptors","09/29/2020"
"Preclinical",,,,,,"Peptide",,"AmideBio LLC",,"AB-G023","Endocrine","Hyperinsulinemia/Hypoglycemia","Glucagon Receptor",
"Suspended",,,,,,"Peptide",,"DiObex, Inc.",,"DIO-901","Endocrine","Hyperinsulinemia/Hypoglycemia","Glucagon Receptor","06/22/2007"
"I",,,,,"12/14/2020","Peptide",,"Amolyt Pharma",,"AZP-3601","Endocrine","Hypoparathyroidism","Parathyroid Hormone (PTH)","12/14/2020"
"Suspended",,,,,,"Peptide",,"CohBar, Inc.","CWBR","CB4209","Endocrine","Non-Alcoholic Steatohepatitis (NASH)","Mitochondria",
"Suspended",,,,,,"Peptide",,"Biosidus S.A.",,"Osteofortil","Endocrine","Osteoporosis / Osteopenia","Parathyroid Hormone Receptor (PTHR)",
"Suspended",,,,,,"Peptide",,"Hanmi Pharmaceutical Co., Ltd.",128940,"HM15910","Gastroenterology (Non Inflammatory Bowel Disease)","Short Bowel Syndrome (SBS)","GLP-2 Receptor",
"Preclinical",,,,,,"Peptide",,"ReAlta Life Sciences, Inc.",,"PIC1-02","Hematology","Autoimmune Hemolytic Anemia (AIHA)","Complement Component 1q (C1q),Complement Pathway",
"Preclinical",,,,,,"Peptide",,"Apitope Technology (Bristol) Ltd",,"ATX-F8","Hematology","Factor VIII Intolerance","Unknown",
"Suspended",,,,,,"Peptide",,"Chemokine Therapeutics Corp.",,"CTCE-0214","Hematology","Neutropenia / Leukopenia","Chemokine (C-X-C motif) Receptor 4 (CXCR4)","10/19/2004"
"Preclinical",,,,,,"Peptide",,"NovaBiotics Ltd",,"Novarifyn","Infectious Disease","Antibacterial - General","Cell Membrane",
"Preclinical",,,,,,"Peptide",,"Soligenix, Inc.","SNGX","SGX943","Infectious Disease","Antibacterial - General","Immune System",
"Suspended",,,,,,"Peptide",,"Arrevus Inc. ",,"ARV-1501","Infectious Disease","Antibacterial - General","DnaK,Protein synthesis",
"Suspended",,,,,,"Peptide",,"Arrevus Inc. ",,"ARV-1503x","Infectious Disease","Antibacterial - General","DnaK,Protein synthesis",
"Suspended",,,,,,"Peptide",,"Arrevus Inc. ",,"ARV-1601","Infectious Disease","Antibacterial - General","DnaK,Gram-Negative Bacteria,Protein synthesis",
"Suspended",,,,,,"Peptide",,"EligoChem Ltd.",,"Helical Antimicrobial Peptide Program","Infectious Disease","Antibacterial - General","Gram-Negative Bacteria",
"Suspended",,,,,,"Peptide",,"Promore Pharma AB","PROMO","Pergamum-Cadila compound","Infectious Disease","Antibacterial - General","Unknown",
"Preclinical",,,,,,"Peptide",,"Vaxil Bio Ltd.",,"CorVax","Infectious Disease","COVID-19 Prevention","Immune System,SARS-CoV-2",
"I",,,,,"12/17/2020","Peptide",,"Vasomune Therapeutics, Inc.",,"AV-001","Infectious Disease","COVID-19 Treatment","Angiopoietin Receptors (TIE-1 and TIE-2)","12/17/2020"
"IND",,,,,,"Peptide",,"Amyndas Pharmaceuticals",,"AMY-101","Infectious Disease","COVID-19 Treatment","Complement Pathway",
"IND",,,,,,"Peptide",,"ReAlta Life Sciences, Inc.",,"RLS-0071","Infectious Disease","COVID-19 Treatment","Complement Component 1q (C1q),Complement Pathway",
"Preclinical",,,,,,"Peptide",,"Ligandal, Inc",,"Ligandal COVID-19 Vaccine","Infectious Disease","COVID-19 Treatment",,
"Suspended",,,"05/04/2015","05/04/2015",,"Peptide",,"Fortress Biotech Inc.","FBIO","PepVax","Infectious Disease","Cytomegalovirus (CMV) Infection (Antiviral)","Human Cytomegalovirus (HCMV)","04/02/2015"
"Suspended",,,,,,"Peptide",,"Enzo Biochem, Inc.","ENZ","EHC18","Infectious Disease","Hepatitis C (HCV) (Antiviral)","Unknown","03/15/2001"
"Suspended",,,,,,"Peptide",,"Spero Therapeutics, Inc.","SPRO","Gram-negative Program (Spero/Cantab)","Infectious Disease","Infectious Disease","Unknown",
"Preclinical",,,,,,"Peptide",,"CEL-SCI Corporation","CVM","LEAPS-H1N1-DC","Infectious Disease","Influenza (including vaccines)","Immune System,Influenza Virus",
"Suspended",,,,,,"Peptide",,"Arrevus Inc. ",,"ARV-1502","Infectious Disease","Skin and Skin-Structure Infections (Antibacterial)","DnaK,Protein synthesis",
"Suspended",,,,,,"Peptide",,"Cantab Anti-infectives Ltd.",,"NVB333","Infectious Disease","Staphylococcal Vaccines and Other Staphylococcus-Specific Agents (Antibacterial)","Staphylococcus",
"Suspended",,,,,,"Peptide",,"Akashi Therapeutics, Inc.",,"AT-300","Metabolic","Duchenne Muscular Dystrophy (DMD)",,
"Preclinical",,,,,,"Peptide",,"Alexion Pharmaceuticals Inc.","ALXN","Peptide Therapeutic Program (Alexion/Zealand)","Metabolic","Metabolic - General","Complement Pathway",
"Preclinical",,,,,,"Peptide",,"Zealand Pharma A/S","ZEAL","Peptide Therapeutic Program (Zealand/Orbit)","Metabolic","Metabolic - General",,
"Suspended",,,,,,"Peptide",,"GP Pharm, S.A.",,"Triptorelin (GP Pharm)","Metabolic","Metabolic - General","Gonadotropin-Releasing Hormone (GnRH) Receptor",
"Suspended",,,,,,"Peptide",,"Zealand Pharma A/S","ZEAL","Peptide Therapeutic Program (Zealand/TPIMS)","Metabolic","Metabolic - General",,
"Suspended",,,,,"03/30/2004","Peptide",,"Bristol Myers Squibb Company","BMY","AC162352","Metabolic","Obesity","Neuropeptide Y (NPY)/Peptide YY (PYY) Receptors","03/30/2004"
"Suspended",,,,,,"Peptide",,"CohBar, Inc.","CWBR","CB4209","Metabolic","Obesity","Mitochondria",
"I/II",,,,"01/12/2015",,"Peptide",,"Johnson & Johnson","JNJ","ACI-35","Neurology","Alzheimer's Disease (AD)","Immune System,Tau proteins",
"Preclinical",,,,,,"Peptide",,"Cenna Biosciences, Inc.",,"P8","Neurology","Alzheimer's Disease (AD)","Amyloid Beta/Amyloid Plaques",
"Suspended",,,,,,"Peptide",,"Neurotez, Inc.",,"NT1","Neurology","Alzheimer's Disease (AD)","Cytoplasmic linker protein 170 (CLIP-170) ,Presenilin 1 (PS1)",
"Preclinical",,,,,,"Peptide",,"Angiochem, Inc.",,"ANG2002","Neurology","Chronic Pain","NT1 (Neurotensin receptor type 1),NT2 (Neurotensin receptor type 2)",
"Suspended",,,,"03/31/2018",,"Peptide",,"Assertio Therapeutics, Inc.","ASRT","Synthetic ACTH Depot","Neurology","Infantile Spasms (West Syndrome; Epilepsy)","Corticotropin Releasing Factor (CRF) / Corticotropin Releasing Hormone (CRH)",
"Suspended",,,,,,"Peptide",,"Travere Therapeutics, Inc.","TVTX","RE-034","Neurology","Infantile Spasms (West Syndrome; Epilepsy)","Melanocortin (MC) receptors",
"II",,,"09/11/2020","09/11/2020","07/31/2017","Peptide",,"Lumosa Therapeutics Co., Ltd.","6535.TWO","LT3001","Neurology","Ischemic Stroke","Tissue Plasminogen Activator (TPA)","07/28/2017"
"Suspended",,,,,,"Peptide",,"Constant Therapeutics, LLC",,"TXA302","Neurology","Ischemic Stroke","Angiotensin II Receptor Type 1 (AT1),Angiotensin II Receptor Type 2 (AT2)",
"Suspended",,,,,,"Peptide",,"AnGes, Inc.",4563,"AGMG0201","Neurology","Ischemic Stroke","Angiotensins (I-IV),Immune System",
"Preclinical",,,,,,"Peptide",,"Axoltis Pharma",,"NX218","Neurology","Neurology - Other","Unknown",
"Preclinical",,,,,,"Peptide",,"ReAlta Life Sciences, Inc.",,"RLS-0071","Neurology","Neurology - Other","Complement Component 1q (C1q),Complement Pathway",
"I",,,,,,"Peptide",,"Stragen Pharm SA",,"STR-324","Neurology","Pain Indications","Nociceptin/Orphanin FQ Peptide (NOP) Receptor","02/23/2018"
"Suspended",,,,,,"Peptide",,"BioLineRx Ltd.","BLRX","EDP 32","Neurology","Parkinson's Disease (PD)","Alpha-synuclein",
"I",,,,,,"Peptide",,"Takeda Pharmaceutical Co. Ltd.","TAK","TAK-951","Not Specified","Emesis",,"05/14/2019"
"Program Hold",,,,,,"Peptide",,"Pantarhei Bioscience B.V.",,"OTE-F","Obstetrics/Gynecology","Reproductive Disorder","Estrogen Receptor Beta (ER2 or ER beta),Oxytocin Receptor","03/06/2013"
"Suspended",,,,"01/14/2010",,"Peptide",,"Gedeon Richter Plc.","RICHT","PGL3001","Obstetrics/Gynecology","Reproductive Disorder","Unknown",
"Preclinical",,,,,,"Peptide",,"Sapience Therapeutics, Inc.",,"ST101 (Sapience)","Oncology","Acute Myelogenous Leukemia (AML)",,
"Suspended",,,,,,"Peptide",,"OncoImmune, Inc.",,"Echinomycin","Oncology","Acute Myelogenous Leukemia (AML)","DNA",
"Suspended",,,,,,"Peptide",,"CytRx Corporation","CYTR","INNO-305","Oncology","Acute Myelogenous Leukemia (AML)","Immune System,Wilms' Tumor Protein 1 (WT1)","10/27/2006"
"Investigator Initiated",,,"12/13/2016",,,"Peptide",,"IMV Inc.","IMV","DPX-E7","Oncology","Anal Cancer","Human Papillomavirus (HPV),Immune System",
"II",,,"01/26/2016","12/31/2015",,"Peptide",,"Cleveland BioLabs, Inc.","CBLI","CBLB612","Oncology","Bone Marrow Transplant and Stem Cell Transplant","Toll-Like Receptor 2 (TLR2)","11/05/2014"
"Preclinical",,,,,,"Peptide",,"Arch Biopartners Inc.","ACHFF","MetaMx","Oncology","Brain Cancer (Malignant Glioma; AA and glioblastoma (GBM))","Tumor Cells",
"IND",,,,,,"Peptide",,"Neon Therapeutics, Inc.",,"NEO-SV-01","Oncology","Breast Cancer","Immune System",
"Suspended",,,,,,"Peptide",,"Treos Bio Limited",,"PolyPEPI915","Oncology","Breast Cancer","Immune System,T lymphocytes",
"IND",,,,,,"Peptide",,"Clovis Oncology, Inc.","CLVS","FAP-2286","Oncology","Cancer","Fibroblast Activation Protein (FAP),Radiopharmaceutical",
"Preclinical",,,,,,"Peptide",,"Soricimed Biopharma Inc.",,"SBI-1301","Oncology","Cancer","TRPV6, transient receptor potential vanilloid receptor 6, VR-6",
"Preclinical",,,,,,"Peptide",,"Portage Biotech Inc.","PTGEF","NLG PD1 Aptamer","Oncology","Cancer","Programmed death-1 receptor (PD-1) / Programmed death ligands (PD-L1 and PD-L2)",
"Preclinical",,,,,,"Peptide",,"Roche Holding AG","RHHBY","Roche Bicycle Program","Oncology","Cancer","Unknown",
"Preclinical",,,,,,"Peptide",,"Theratechnologies Inc.","THTX","TH1901","Oncology","Cancer","Sortilin 1 (SORT1)",
"Suspended",,,,,,"Peptide",,"Vaxon Biotech",,"Vbx-016","Oncology","Cancer","Carcinoembryonic antigen (CEA),HER2/neu or ErbB-2,Immune System,Melanoma antigen-encoding gene (MAGE),Telomerase",
"Suspended",,,,,,"Peptide",,"Altimmune Inc. ","ALT","Oncosyn","Oncology","Cancer","Immune System,T-Cell Receptor (TCR)",
"Investigator Initiated",,,"12/13/2016",,,"Peptide",,"IMV Inc.","IMV","DPX-E7","Oncology","Cervical Cancer","Human Papillomavirus (HPV),Immune System",
"Preclinical",,,,,,"Peptide",,"Hamlet Pharma AB","HAMLET","Alpha1H","Oncology","Gastric Cancer","Tumor Cells",
"Suspended",,,,,,"Peptide",,"Roche Holding AG","RHHBY","IMA942","Oncology","Gastric Cancer","Immune System,Tumor Cells",
"Investigator Initiated",,,"12/13/2016",,,"Peptide",,"IMV Inc.","IMV","DPX-E7","Oncology","Head and Neck Cancer","Human Papillomavirus (HPV),Immune System",
"Suspended",,,,,,"Peptide",,"Ono Pharmaceutical Company, Ltd.","4528:JP","ONO-7268MX2","Oncology","Hepatocellular (Liver) Cancer (HCC) (Including Secondary Metastases)","Immune System",
"Preclinical",,,,,,"Peptide",,"CohBar, Inc.","CWBR","CXCR4 Inhibitor (CohBar)","Oncology","Melanoma","Chemokine (C-X-C motif) Receptor 4 (CXCR4)",
"IND",,,,,,"Peptide",,"Oncopeptides AB","ONKO:SS","OPD5","Oncology","Multiple Myeloma (MM)","Aminopeptidase",
"Suspended",,,,,,"Peptide",,"Andarix Pharmaceuticals",,"Tozaride","Oncology","Non-Small Cell Lung Cancer (NSCLC)","Radiopharmaceutical,Somatostatin Receptors","06/03/2007"
"Suspended",,,,,,"Peptide",,"Roche Holding AG","RHHBY","IMA930","Oncology","Non-Small Cell Lung Cancer (NSCLC)","Immune System,Tumor Cells",
"Preclinical",,,,,,"Peptide",,"Theratechnologies Inc.","THTX","TH-1902","Oncology","Ovarian Cancer","Microtubules (Tubulin),Sortilin 1 (SORT1)",
"Preclinical",,,,,,"Peptide",,"Theratechnologies Inc.","THTX","TH-1904","Oncology","Ovarian Cancer","Sortilin 1 (SORT1),Topoisomerase II (DNA gyrase)",
"Suspended",,,,,,"Peptide",,"Treos Bio Limited",,"PolyPEPI1211","Oncology","Ovarian Cancer","Immune System,T lymphocytes",
"Suspended",,,,,"01/17/2019","Peptide",,"IMV Inc.","IMV","DPX-NEO Program","Oncology","Ovarian Cancer","Tumor Cells","01/17/2019"
"Preclinical",,,,,,"Peptide",,"Andarix Pharmaceuticals",,"Tozaride","Oncology","Pancreatic Cancer","Radiopharmaceutical,Somatostatin Receptors",
"Suspended",,,,,,"Peptide",,"Aileron Therapeutics, Inc","ALRN","ATSP-9172","Oncology","Prostate Cancer","Hypoxia Inducible Factor-1 alpha (HIF-1a)",
"Suspended",,,,,,"Peptide",,"Inspyr Therapeutics, Inc.","NSPX","G-115","Oncology","Prostate Cancer","Prostate-Specific Antigen (PSA),Sarcoplasmic reticulum Ca2+-ATPase (SERCA)",
"I",,,,,,"Peptide",,"Debiopharm S.A.",,"Debio 1124","Oncology","Small Cell Lung Cancer (SCLC)","Cholecystokinin 2 (CCK2 or CCKB) / Gastrin receptor,Radiopharmaceutical","08/26/2020"
"I/II",,,,"01/31/2004",,"Peptide",,"Andarix Pharmaceuticals",,"Tozaride","Oncology","Small Cell Lung Cancer (SCLC)","Radiopharmaceutical,Somatostatin Receptors",
"I",,,,,"11/28/2017","Peptide",,"Vigeo Therapeutics, Inc.",,"VT1021","Oncology","Solid Tumors",,"12/06/2017"
"I",,,,,,"Peptide",,"Vaxon Biotech",,"Vx-006","Oncology","Solid Tumors","HER2/neu or ErbB-2,Immune System,Melanoma antigen-encoding gene (MAGE),Telomerase","11/12/2014"
"I/II",,,"07/01/2020","07/01/2020",,"Peptide",,"Sapience Therapeutics, Inc.",,"ST101 (Sapience)","Oncology","Solid Tumors",,
"I/II",,,,"11/13/2019","11/13/2019","Peptide",,"Bicycle Therapeutics, plc","BCYC","BT5528","Oncology","Solid Tumors","Antibody-drug Conjugate (ADC),Ephrin Receptor EphA2 ",
"Preclinical",,,,,,"Peptide",,"Sapience Therapeutics, Inc.",,"Beta-Catenin Antagonist","Oncology","Solid Tumors",,
"Preclinical",,,,,,"Peptide",,"Altimmune Inc. ","ALT","ALT-702","Oncology","Solid Tumors","Immune System,Toll-like receptor 7 (TLR7),Toll-like receptor 8 (TLR8)",
"Preclinical",,,,,,"Peptide",,"Scancell","SCLP","Modi-2","Oncology","Solid Tumors","Cluster of Differentiation 4 (CD4),Immune System,Vimentin",
"Preclinical",,,,,,"Peptide",,"Theratechnologies Inc.","THTX","TH-1902","Oncology","Solid Tumors","Microtubules (Tubulin),Sortilin 1 (SORT1)",
"Suspended",,,,,"08/16/2018","Peptide",,"Biosceptre International Limited",,"BIL06v","Oncology","Solid Tumors","Immune System,Purinergic receptor P2X ligand-gated ion channel 7 (P2RX7)",
"Suspended",,,,,,"Peptide",,"Mediolanum Farmaceutici SpA",,"GX 301","Oncology","Solid Tumors","Telomerase",
"Suspended",,,,,,"Peptide",,"Aeterna Zentaris Inc.","AEZS","AEZS-125","Oncology","Solid Tumors","Gonadotropin-Releasing Hormone (GnRH) Receptor",
"Preclinical",,,,,,"Peptide",,"Debiopharm S.A.",,"Debio 1124","Oncology","Thyroid Cancer - Imaging","Cholecystokinin 2 (CCK2 or CCKB) / Gastrin receptor,Radiopharmaceutical",
"I/II",,,,"12/16/2019","12/16/2019","Peptide",,"Allysta Pharmaceuticals",,"ALY688","Ophthalmology","Dry Eye (Ophthalmology)","Adiponectin receptors",
"Suspended",,,,,"05/15/2017","Peptide",,"Takeda Pharmaceutical Co. Ltd.","TAK","SHP639","Ophthalmology","Glaucoma / Ocular Hypertension (Ophthalmology)",,"05/15/2017"
"Suspended",,,,,,"Peptide",,"Santen Pharmaceutical Co., Ltd.",4536,"PDPS Program (Santen/PeptiDream)","Ophthalmology","Other Ophthalmological Indications (Ophthalmology)","Unknown",
"Suspended",,,,,,"Peptide",,"BioDiem Ltd",,"BDM-E","Ophthalmology","Retinitis Pigmentosa (RP) (Ophthalmology)","Unknown",
"Suspended",,,,,,"Peptide",,"Thrasos Theraputics, Inc.",,"THR-8590","Renal","Renal Disease / Renal Failure",,
"Suspended",,,,,,"Peptide",,"Spotlight Innovation Inc.","STLT","Cardiotoxin","Renal","Renal Disease / Renal Failure","Potassium channels",
"Suspended",,,,,,"Peptide",,"Travere Therapeutics, Inc.","TVTX","RE-034","Renal","Renal Disease / Renal Failure","Melanocortin (MC) receptors",
"Suspended",,,,,,"Peptide",,"Windtree Therapeutics, Inc.","WINT","DSC-104","Respiratory","Asthma","Alveolar Surface","03/09/2004"
"Preclinical",,,,,,"Peptide",,"CohBar, Inc.","CWBR","MBT2 Analog (CohBar)","Respiratory","Idiopathic Pulmonary Fibrosis (IPF)","Mitochondria",
"Suspended",,,,,,"Peptide",,"Compugen Ltd.","CGEN","CGEN-25009","Respiratory","Idiopathic Pulmonary Fibrosis (IPF)","Relaxin Family Peptide Receptors 1-4 (RXFP1-4)",
"Preclinical",,,,,,"Peptide",,"Eli Lilly and Company","LLY","DACRA-056","Rheumatology (Non Autoimmune)","Osteoarthritis and Osteoarthritis Pain","Amylin Receptor,Calcitonin Gene-Related Peptide (CGRP) / Receptor",
"Development Outside U.S.",,,,,,"Peptide",,"Hamlet Pharma AB","HAMLET","Alpha1H","Oncology","Bladder Cancer","Tumor Cells",
"Development Outside U.S.",,,,,,"Peptide",,"Strongbridge Biopharma plc","SBBP","COR-005","Endocrine","Cushing's Syndrome","Somatostatin Receptors",
"Development Outside U.S.",,,,,,"Peptide",,"Strongbridge Biopharma plc","SBBP","COR-005","Ophthalmology","Diabetic Retinopathy (Ophthalmology)","Somatostatin Receptors",
"Development Outside U.S.",,,,,,"Peptide",,"Amolyt Pharma",,"AZP-3404","Endocrine","Endocrine Disorder","Insulin-Like Growth Factor Family ",
"Development Outside U.S.",,,,,,"Peptide",,"OncoTherapy Science, Inc.","4564:JP","OTSGC-A24","Oncology","Gastric Cancer","T lymphocytes",
"Development Outside U.S.",,,,,"04/12/2018","Peptide",,"AnGes, Inc.",4563,"AGMG0201","Cardiovascular","Hypertension (Systemic)","Angiotensins (I-IV),Immune System",
"Development Outside U.S.",,,,,"10/26/2016","Peptide",,"Apitope Technology (Bristol) Ltd",,"ATX-GD-459","Endocrine","Hyperthyroidism / Graves' Disease","Thyroid stimulating hormone receptor (TSHR)",
"Development Outside U.S.",,,,,,"Peptide",,"WntResearch AB","WNT.ST","Box-5","Oncology","Melanoma","WNT Signaling Pathway",
"Development Outside U.S.",,,,,,"Peptide",,"JCR Pharmaceuticals Co., Ltd.",4552,"JR-171","Metabolic","Mucopolysaccharidosis I (MPS I; Hurler Syndrome)","Unsulfated alpha-L-iduronic acid",
"Development Outside U.S.",,,,,,"Peptide",,"FunPep Co. Ltd.",,"FPP003","Autoimmune/immunology","Psoriasis",,
"Development Outside U.S.",,,,,,"Peptide",,"Strongbridge Biopharma plc","SBBP","COR-005","Oncology","Solid Tumors","Somatostatin Receptors",
"Suspended",,,"04/17/2013","04/17/2013",,"Peptide","Inhaled","APEPTICO GmbH",,"AP301","Autoimmune/immunology","Lung Transplant Rejection","Tumor Necrosis Factor-alpha (TNF-alpha)",
"II",,,,"10/12/2006",,"Peptide","Inhaled","NeuroRx, Inc.",,"Aviptadil","Autoimmune/immunology","Sarcoidosis","Vasoactive Intestinal Peptide (VIP) Receptor",
"Suspended",,,,"09/14/2006",,"Peptide","Inhaled","NeuroRx, Inc.",,"Aviptadil","Cardiovascular","Pulmonary Arterial Hypertension (PAH) and Pulmonary Hypertension (PH)","Vasoactive Intestinal Peptide (VIP) Receptor","12/22/2003"
"Suspended",,,,"04/05/2005",,"Peptide","Inhaled","Biogen, Inc.","BIIB","Aviptadil (PAH)","Cardiovascular","Pulmonary Arterial Hypertension (PAH) and Pulmonary Hypertension (PH)","Vasoactive Intestinal Peptide (VIP) Receptor","07/28/2004"
"I/II",,,"03/28/2013","11/30/2013",,"Peptide","Inhaled","Aerami Therapeutics",,"AER-501","Endocrine","Diabetes Mellitus, Type I","Insulin Receptor",
"Suspended",,,,"09/20/2005",,"Peptide","Inhaled","AbbVie Inc.","ABBV","ABT Inhaled Insulin","Endocrine","Diabetes Mellitus, Type I","Insulin Receptor","08/24/2003"
"Suspended",,,,,,"Peptide","Inhaled","Allergan plc","AGN","MAP0001","Endocrine","Diabetes Mellitus, Type I","Insulin Receptor","03/20/2008"
